id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
58;1;Economic growth ;Economic growth ;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;System Condition;Monetary;;Growth;1_StaatVDS;Economic
11;2;Income inequality;Income inequality;Economic Capital;Consumption and Income;Distribution-Income- Total;Here and now;;;;City;Equal opp;2_BWMRA;Economic
6;3;Added value;Added value;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;Value Creation ;Monetary;City;Growth;5_EVMRA;Economic
5;4;GDP;GDP;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;System Condition;Monetary;City;Growth;5_EVMRA;Economic
31;5;Labor productivity;Labor productivity;Economic Capital;Consumption and Income;Productivity;Here and now, Later;;Value Creation ;Index;City;Growth;5_EVMRA;Economic
;6;GDP Municipal;Gross Municipal Product;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;;;;Growth;11_BBV;Economic
;7;GDP growth - Amsterdam;Economic growth rate;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;;;;Growth;10_DBoom;Economic
52;8;development aid;development aid;Economic Capital;Consumption and Income;Official Development Assistance;Elsewhere;;Value Creation ;Monetary;;Growth;6_RMBW;Economic
;9;GDP growth - Amsterdam;Economic growth rate;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;;;;Growth;9_SDGs;Economic
34;10;Household wealth;Median household wealth;Economic Capital;Consumption and Income;Distribution-Income- Total;Here and now;;System Condition;Monetary;;Equal opp;6_RMBW;Economic
28;11;Consumer confidence;Consumer confidence;Economic Capital;Consumption and Income;Consumption;Here and now;;Value Creation ;Index;City;Growth;5_EVMRA;Economic
35;12;Installed renewable electricity;Installed capacity renewable electricity;Economic Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Electric current;;Sustainability;6_RMBW;Economic
74;13;Dependence energy input;Dependence on energy input;Economic Capital;Energy Resources;Energy dependency;Here and now, Later, Elsewhere;;Resource Flow;;;Sustainability;6_RMBW;Economic
42;14;Energy consumption;Energy consumption;Economic Capital;Energy Resources;Consumption;Here and now, Later;Strategic;Resource Flow;Electric current;City;Sustainability;5_EVMRA;Economic
25;15;Energy consultations;Energy consultations;Economic Capital;Energy Resources;Renewable energy;Here and now;;System Condition;Population;City;Sustainability;7_Klimaat;Economic
31;16;Share renewable energy;Share of renewable energy in total energy consumption;Economic Capital;Energy Resources;Renewable energy;Here and now, Later;Tactical;Value Creation ;Electric current;National;Sustainability;4_Stadsdonut;Economic
11;17;New Construction-score;New construction-New;Economic Capital;Energy Resources;Intensity/Productivity;Here and now;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
18;18;Gas free housing;Hgas free housing;Economic Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;Tactical;Resource Flow;People;Neighborhood;Sustainability;4_Stadsdonut;Economic
18;19;Wind energy gen.;Wind energy generation;Economic Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
24;20;Energy poverty;Energy poverty;Economic Capital;Energy Resources;Expenditures;Here and Now, Elsewhere;;Adverse Outcome;Monetary;Neighborhood;Sustainability;1_StaatVDS;Economic
23;21;Attitude Amsterdammers;Building the movement in the city;Economic Capital;Energy Resources;Renewable energy;Here and now, Later;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
75;22;Economic dependence exports;Economic dependence on exports;Economic Capital;Energy Resources;Energy dependency;Elsewhere;;Resource Flow;Monetary;;Growth;6_RMBW;Economic
17;23;Solar energy gen.;Solar energy generation;Economic Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Population;City;Sustainability;7_Klimaat;Economic
82;24;Budget external parties;Budget made available from external parties;Economic Capital;Financial Capital;Savings;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
81;25;Expenditure plan;Money planned to be spent;Economic Capital;Financial Capital;Expenditures;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
;26;Apparatus costs;Apparatus costs;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Better admin;11_BBV;Economic
83;27;Obstacles outsourcing budget;Obstacles in outsourcing the budget;Economic Capital;Financial Capital;Foreign direct investment;Here and now, Later;;;;City;Better admin;8_Duurzame;Economic
;28;Disposable income;Disposable income;Economic Capital;Financial Capital;Expenditures;Here and now;;;;;Growth;9_SDGs;Economic
;29;Occupancy;Occupancy;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Better admin;11_BBV;Economic
;30;External hires;External hires;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Better admin;11_BBV;Economic
;31;Overhead;Overhead;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Better admin;11_BBV;Economic
;32;Formation;Formation;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Better admin;11_BBV;Economic
80;33;Outsourced money;Outsourced money;Economic Capital;Financial Capital;Foreign direct investment;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
76;34;Government debt;Government debt;Economic Capital;Financial Capital;Government debt;Here and now, Later;;Adverse Outcome;Monetary;;Growth;6_RMBW;Economic
33;35;Debt per household;Average debt per household;Economic Capital;Financial Capital;Net assets/liabilities;Here and now, Later;;Adverse Outcome;Monetary;;Equal opp;6_RMBW;Economic
79;36;Expenditure-money reserved;Expenditure: money reserved;Economic Capital;Financial Capital;Deficit/Surplus;Here and now, Later;;;;City;Growth;8_Duurzame;Economic
20;37;Port revenue -Non Fossil;Port revenue -Non Fossil;Economic Capital;Financial Capital;Net assets/liabilities;Here and now;;System Condition;Monetary;City;Sustainability;7_Klimaat;Economic
;38;City procurement;City procurement;Economic Capital;Financial Capital;Investments;Here and Now, Elsewhere;;;;;Growth;10_DBoom;Economic
;39;City procurement;City procurement;Economic Capital;Financial Capital;Investments;Here and Now, Elsewhere;;;;;Growth;9_SDGs;Economic
;40;Disposable income;Disposable income;Economic Capital;Financial Capital;Expenditures;Here and now;;;;;Growth;10_DBoom;Economic
31;41;Wealth inequality;Wealth inequality;Economic Capital;Financial Capital;Net assets/liabilities;Here and now;;;;City;Equal opp;2_BWMRA;Economic
