id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
77;1;Spending on cultural heritage;Spending on cultural heritage;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;;Good Governance;9_SDGs;Economic
409;2;Number of event permits requested/granted;Number of event permits requested/granted;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
445;3;Timely processing of WOO requests;Timely processing of WOO requests;Economic Capital;Physical Capital;ICT;Here and now;;;;City;Good Governance;10_DBoom;Economic
19;4;Number of active land holdings;Number of active land holdings;Quality of Life;Institutional;Law;Here and now;;;;City;Good Governance;10_DBoom;Social
350;5;Customer satisfaction of people on welfare benefits with an income offset from work;Customer satisfaction of people on welfare benefits with an income offset from work;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Good Governance;10_DBoom;Economic
3;6;Apparatus costs;Apparatus costs;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;;Good Governance;11_BBV;Economic
147;7;Annual number of reports of nuisance caused by rainwater on streets;Annual number of reports of nuisance caused by rainwater on streets;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;City;Good Governance;10_DBoom;Social
78;8;Satisfaction living environment;Satisfaction living environment;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;;Good Governance;9_SDGs;Social
22;9;Prepare MPG (Multiyear Perspective Land Operations) in spring and AMPG (Update MPG) in fall;Prepare MPG (Multiyear Perspective Land Operations) in spring and AMPG (Update MPG) in fall;Quality of Life;Institutional;Law;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
318;10;% youth (out of total stay) in family-oriented/nursing care, closed placement, stay with JH provider;% youth (out of total stay) in family-oriented/nursing care, closed placement, stay with JH provider;Quality of Life;Health;Health care facilities;Here and now;;;;City;Good Governance;10_DBoom;Social
45;11;Number of terminations of unauthorized housing use, vacant housing put into use, refurbished housing following enforcement actions;Number of terminations of unauthorized housing use, vacant housing put into use, refurbished housing following enforcement actions;Quality of Life;Housing;Housing stock;Here and now, Later;;;;City;Good Governance;10_DBoom;Social
